name	female_count	male_count
adorn	5	0
adorne	1	0
adra	578	0
adrain	569	4143
adraine	218	5
adrainne	13	0
adran	0	36
adraya	23	0
adre	0	6
adrea	720	0
adream	58	0
adrean	410	726
adreana	921	0
adreann	7	0
adreanna	1525	0
adreanne	109	0
adreauna	5	0
adree	26	0
adreena	103	0
adreian	0	21
adrein	0	51
adreina	11	0
adreinne	15	0
adrell	0	5
adren	0	348
adrena	498	0
adrene	46	0
adreon	0	35
adreona	106	0
adreonna	176	0
adrew	0	31
adrey	5	0
adreyan	0	97
adreyona	5	0
adri	172	20
adria	5935	7
adriaan	0	77
adriaens	1	0
adriah	47	0
adriahna	74	0
adrial	0	25
adrialis	8	0
adrialys	16	0
adriam	0	5
adrian	15065	224939
adriana	86450	399
adrianah	232	0
adriane	6074	274
adrianjames	0	11
adriann	933	104
adrianna	43557	18
adriannah	282	0
adrianne	13031	31
adrianno	0	8
adrianny	21	0
adriano	0	1982
adrianpaul	0	7
adriauna	248	0
adriaunna	53	0
adric	0	365
adrick	0	172
adrie	210	0
adriean	0	18
adrieana	121	0
adrieanna	363	0
adrieanne	16	0
adriel	748	10242
adriela	18	0
adriell	0	58
adriella	87	0
adrielle	747	0
adrien	1359	7824
adriena	135	0
adriene	2360	61
adrienn	27	7
adrienna	788	0
adrienne	66426	382
adriennie	5	0
adrieonna	5	0
adrihana	5	0
adrihanna	22	0
adrija	35	0
adrijana	63	0
adrik	0	378
adrika	25	0
adrin	12	349
adrina	1413	0
adrine	64	5
adrinna	34	0
adrinne	66	0
adrion	0	694
adriona	290	0
adrionna	861	0
adris	0	10
adrita	49	0
adrith	0	13
adriunna	5	0
adrius	0	19
adriyan	0	37
adriyana	169	0
adriyanna	194	0
adriyel	0	22
adron	0	1094
adry	5	0
adryan	162	1004
adryana	498	0
adryanah	5	0
adryann	5	0
adryanna	634	0
adryauna	5	0
adryel	0	82
adryen	0	84
adryian	0	5
adryn	6	26
adryon	0	15
adryonna	5	0
adulfo	0	5
adut	38	0
advait	0	374
advaita	34	0
advaith	0	501
advay	0	330
advik	0	574
advika	373	0
advit	0	46
advita	36	0
advith	0	71
advitha	23	0
adwaith	0	10
adwin	0	45
adwit	0	5
adwita	59	0
adwitiya	5	0
adwoa	177	0
ady	129	0
adya	250	0
adyaan	0	6
adyan	0	330
adyanna	11	0
adyant	0	21
adyen	0	82
adylan	28	0
adylee	54	0
adyleigh	6	0
adylen	30	0
adylene	276	0
adylenne	13	0
adylin	93	0
adylina	5	0
adyline	81	0
adylinn	11	0
adylyn	23	0
adylynn	47	0
adym	0	5
adyn	114	1196
adynn	17	63
adysan	7	0
adysen	745	0
adysin	40	0
adyson	3792	34
adysson	69	0
adysun	5	0
adysyn	32	0
aedan	43	3206
aeddon	0	26
aeden	7	955
aedin	0	177
aedon	0	133
aedric	0	21
aedyn	73	501
aeiden	0	10
aeiress	6	0
aeisha	264	0
aeja	48	0
aela	232	0
aelan	6	0
aelani	12	0
aeleen	15	0
aelia	5	0
aeliana	64	0
aelicia	6	0
aelin	5	0
aelisa	5	0
